puesto_sap,eventos,ordenes,materiales,operaciones_unicas,periodo_desde,periodo_hasta,unidad_operacion,unidad_notificada,unidad_metros,unidad_desperdicio,tiene_operacion,tiene_notificada,tiene_metros,tiene_horas,tiene_desperdicio,porcentaje_operacion,porcentaje_notificada,porcentaje_metros,porcentaje_horas,porcentaje_desperdicio,cantidad_operacion_unica,total_notificada,total_metros,total_horas,total_desperdicio,maquina_negocio,proceso,usar_en_cumplimiento,campo_plan,campo_real,unidad_cumplimiento,notas
410P,21,16,14,16,2026-09-07,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,100,80.95,80.95,100,80.95,248755.846,5150,254800,126.34,625,,,,,,,
416P,61,29,27,29,2026-09-01,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,100,95.08,91.8,100,75.41,1590832.446,38104.5,1074579,340.82,3110,,,,,,,
417P,13,10,10,10,2026-09-02,2026-09-11,M,KG,M,KG,SI,SI,SI,SI,SI,100,100,100,100,100,123094.39199999999,14120.3,96158,64.99,960.6,,,,,,,
424P,46,22,20,22,2026-09-01,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,100,78.26,78.26,100,73.91,785563.506,19093,834189,306.85,1086,,,,,,,
426P,57,28,27,28,2026-09-01,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,100,92.98,91.23,98.25,98.25,917602.869,29963.4,555586,290.08,4241.7,,,,,,,
429P,67,33,29,33,2026-09-01,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,100,88.06,88.06,100,70.15,1394379.442,61723.5,1500958,355.72,1894,,,,,,,
430P,36,21,21,21,2026-09-01,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,94.44,91.67,91.67,94.44,94.44,1082339.11,80426,937565,223.29,8989,,,,,,,
431P,24,11,6,11,2026-09-01,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,100,100,100,100,91.67,395523.395,16972,273382,206.32,147,,,,,,,
444P,23,17,15,17,2026-09-01,2026-09-16,M,KG,M,KG,SI,SI,SI,SI,SI,100,91.3,91.3,100,78.26,398476.158,26354,459210,95.22,452,,,,,,,
446P,27,13,11,13,2026-09-01,2026-09-10,M,KG,M,KG,SI,SI,SI,SI,SI,100,92.59,92.59,100,100,505223.63,28914,436561,178.04,4236,,,,,,,
447SB,9,6,4,6,2026-09-01,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,88.89,88.89,88.89,88.89,100,311907.329,13753,312807,49.99,706,,,,,,,
447SL,23,16,16,16,2026-09-01,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,100,86.96,86.96,100,86.96,419245.626,39549,333997,128.26,268,,,,,,,
448P,1,1,1,1,2026-09-01,2026-09-01,M,KG,M,,SI,SI,SI,SI,NO,100,100,100,100,0,9436.35,233,3136,3.67,0,,,,,,,
457P,4,4,4,4,2026-09-09,2026-09-12,M,KG,M,KG,SI,SI,SI,SI,SI,100,75,75,100,75,142328.461,2096,33830,21.67,119,,,,,,,
458,60,25,24,25,2026-09-01,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,98.33,96.67,95,95,98.33,1195557.195,55456,1105389,283.78,5160.5,,,,,,,
459P,69,35,34,35,2026-09-01,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,100,81.16,81.16,100,84.06,851136.081,21027,701541,343.6,5624,,,,,,,
461P,24,6,6,6,2026-09-01,2026-09-17,M,KG,,,SI,SI,NO,SI,SI,100,100,0,100,50,348366.017,1945.7,0,200.16,178.6,,,,,,,
462P,10,4,4,4,2026-09-01,2026-09-17,M,KG,,,SI,SI,NO,SI,SI,100,100,0,100,20,210243.421,368.8,0,90.67,114.6,,,,,,,
463P,70,43,33,43,2026-09-01,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,98.57,91.43,87.14,98.57,78.57,1850872.4510000001,37248,1057499,326.05,1545.8,,,,,,,
465P,1,1,1,1,2026-09-04,2026-09-04,M,KG,M,KG,SI,SI,SI,SI,SI,100,100,100,100,100,155666.4,436,30004,8.5,2,,,,,,,
467P,39,21,20,21,2026-09-01,2026-09-17,M,KG,,KG,SI,SI,NO,SI,SI,100,97.44,0,100,79.49,1254739.58,2485.62,0,305.85,1211.4,,,,,,,
469P,51,30,28,30,2026-09-01,2026-09-17,M,KG,,KG,SI,SI,NO,SI,SI,100,92.16,0,100,86.27,1430124.349,3704.5,0,331.48,3303.85,,,,,,,
476P,32,6,6,6,2026-09-01,2026-09-17,M,KG,,KG,SI,SI,NO,SI,SI,100,87.5,0,93.75,96.88,92228.555,1193.39,0,327.92,423.94,,,,,,,
478P,39,9,9,9,2026-09-01,2026-09-17,M,KG,,KG,SI,SI,NO,SI,SI,100,84.62,0,82.05,94.87,111879.45599999999,8106.93,0,343.35,1268.19,,,,,,,
494P,66,37,32,37,2026-09-01,2026-09-17,M,KG,M,KG,SI,SI,SI,SI,SI,100,98.48,98.48,100,96.97,1456739.347,51815.5,1073841,287.28,5209.4,,,,,,,
527,6,2,2,2,2026-09-04,2026-09-08,M,KG,M,,SI,SI,NO,NO,NO,100,100,0,0,0,6555,5944.05,0,0,0,,,,,,,
527P,238,73,66,73,2026-09-01,2026-09-18,M,KG,M,,SI,SI,NO,NO,NO,100,100,0,0,0,215446.186,130083.95,0,0,0,,,,,,,
